"group","SubID","LR","Out_Sens","Res_Cons","Loss_Aver","Gain_Impa","Loss_Impa","Deca_Rate","RL_weight"
"young",1,0.0384410577943636,0.630401574959505,1.20729516411253,1.05032280201664,-0.535034826457074,-1.91309890614929,0.669323165090531,0.660445753964026
"young",2,0.0456726153278245,0.630330954651341,1.62819142332492,0.205205233436577,-0.133366834181907,-1.42358000304871,0.427207010233143,0.719351776615316
"young",3,0.0454677340594573,0.602974470373146,1.39557161389997,0.383055171887104,-0.344822265215589,-1.71982589305983,0.493248987388552,0.68872316420638
"young",4,0.0357889792987354,0.635676977783319,1.067830579495,0.823789884519446,-0.229191624585735,-1.48445450618816,0.625835147641492,0.675970569785083
"young",5,0.0606548790641338,0.636275908942014,1.80296430235807,0.329245940335442,-0.61601972750811,-2.56101651918625,0.439911812078905,0.655563429757813
"young",6,0.0408807798164047,0.656224480006685,1.27477599660294,0.874719670758593,-0.87170929508983,-1.93181388396606,0.438684534338065,0.642933542138801
"young",7,0.0455802423243344,0.578240965124154,1.42310910177953,0.467108594114038,-1.04882374134663,-1.11515329877461,0.577685333279187,0.690802633718518
"young",8,0.0468562345996622,0.537441298882946,1.31714858700332,1.35580841211308,-1.36714849435061,-0.111528982606905,0.652065428186291,0.676346458975218
"young",9,0.0444428458547378,0.677168118548129,1.21698939730251,2.38158884853594,0.726342352334975,-0.22568698031597,0.695700809570732,0.709622313161894
"young",10,0.0559769040066211,0.553612343598722,1.69370431089165,2.03447415501404,0.16894402482199,-0.889425577293122,0.515695325333866,0.744016651522318
"young",11,0.0441450271917212,0.567434382887467,1.32975316051773,0.648727210631752,-0.108275661884838,-2.10724512014962,0.595709200879675,0.663464933657992
"young",12,0.0307912952689352,0.663942644673373,1.13741854321953,0.53131728874559,-0.924315334503271,1.07618002692174,0.636960594258967,0.634403575802226
"young",13,0.047497920699795,0.618057404508791,1.4104833976809,0.406842271195343,0.185504125036411,-2.634093906841,0.644945920612219,0.630520758417272
"young",14,0.0319294376124025,0.733620390752421,1.43487313194317,1.63425069364372,-0.394678261428559,-2.75068341792238,0.606231622226612,0.609624406491133
"young",15,0.0321860768175003,0.655493590594639,1.1277671833605,1.05258713644625,1.52169186893575,0.49842969060037,0.3591205871908,0.643662883177603
"young",16,0.0494932949203878,0.766464136810291,1.1686124731997,2.62638406624229,1.30714740763689,-0.369546750081035,0.624317802662986,0.683830807525857
"young",17,0.0371593204061909,0.609838069438742,1.0800948889059,0.783828674454814,0.755573132071654,-0.830751635178209,0.542233690965612,0.693113888970841
"young",18,0.034082277577762,0.635187966175434,1.1449237032454,0.503735670534552,-0.534058005141926,-1.97776970257255,0.665016700457431,0.650313539557648
"young",19,0.0403788659615303,0.721535571024798,1.28972278215459,1.46255901971017,-0.438582051867396,-1.78572765696085,0.486578733400087,0.67768282872001
"young",20,0.0327765713584617,0.670619747326097,0.925847375337796,0.844744431504717,-0.225346693541622,-0.83820792210783,0.456916840274089,0.677361810225838
"young",21,0.0382940673736695,0.590334456631912,1.20279025039972,0.813621099723517,-0.995447185804761,-1.2552340617311,0.487471062628932,0.669453448400331
"young",22,0.0378939706433324,0.669135232596446,1.28768276132173,0.325142670399375,1.42369347924345,1.25236652840211,0.345429011639129,0.635528265184656
"young",23,0.053721006824068,0.615018383527793,1.29822058236144,1.90266905335329,1.47555573369093,-1.1165750651056,0.459745715329158,0.66939317973038
"young",24,0.0346873915328008,0.601168175948287,1.8099276784375,0.393889759224461,-1.80411296000646,-2.3558415139602,0.468470955689883,0.60387865335339
"young",25,0.0335536854111189,0.642911543339133,0.985049125477711,0.76061252689749,-0.39395460469466,-1.16496494657089,0.628898856258871,0.672195946791624
"young",26,0.0304664247406957,0.695273965520758,1.08283883632484,1.21342865186215,1.53192947425346,-1.25956145445592,0.335991099083354,0.640525546774757
"young",27,0.0433626522197943,0.664001257741159,1.32555737711299,1.26400725846765,1.93040136398275,0.0478221991226784,0.323701829710094,0.648691006162595
"young",28,0.0560536279973265,0.818137213146087,1.25922737025531,2.15856088853484,0.543437917369734,-1.31752413062069,0.565139239786235,0.701340399011027
