study	health status	component_1	component_2	component_3
Horstmann	healthy	-1.7039011767194565	0.5296170293100838	0.11864156776504813
Horstmann	healthy	0.1691270460734878	0.7141790793415039	-0.24098989900446466
Horstmann	healthy	-0.9131227059381456	1.0285060086954443	-0.47316647980123205
Horstmann	healthy	1.4725815827131463	0.9780870406536999	0.5559860363002297
Horstmann	healthy	-0.2674290185728972	0.8015546365812894	0.8191476236155567
Horstmann	healthy	-2.928354447053219	1.8316778835425507	0.7559060501631223
Horstmann	healthy	0.32684324557636	1.5331885018985807	-0.22845880727265813
Horstmann	healthy	-0.40496202789576463	-1.579455452149211	-0.25179286907499127
Horstmann	healthy	0.16179312768055407	1.5599361021047045	-0.27946701793042344
Horstmann	healthy	-0.36981291166073427	0.5806064836258678	0.16321860993259907
Horstmann	healthy	-0.7967855774419639	-0.16350781220614286	0.959401319240174
Horstmann	healthy	0.09104924124150406	0.42208666108564424	0.9152125316680638
Horstmann	healthy	1.1321392193732525	1.898544164991326	0.38929598027149986
Horstmann	healthy	-0.5135140988334161	0.37466461002092905	1.9453613137935852
Horstmann	healthy	-0.29881892701644286	0.4776295133999795	0.43273425887351985
Horstmann	healthy	1.3156074517884324	0.7567958791162113	1.994418552248257
Horstmann	healthy	-2.7840149985981544	1.9154445736023362	0.9283507037477848
Horstmann	healthy	-0.4298017189448403	2.329056581520147	-1.4529852255807696
Horstmann	healthy	-0.7195925374973277	0.8131623714946927	0.33581596338928915
Horstmann	healthy	0.733852356398021	1.7920421114058553	0.13746162667103204
Horstmann	healthy	-0.6281277769392244	-0.2618623301437371	-0.30518944744766274
Horstmann	healthy	-0.2207024992500784	1.99980895230792	0.8607682775810186
Horstmann	healthy	-0.27725985169492867	1.2420341274682547	-0.9617470279769524
Horstmann	healthy	0.19740850476944694	0.3508263432154118	0.20093156850256735
Horstmann	healthy	1.195509150249963	-1.3269788254781392	2.2811886997811044
Horstmann	healthy	2.366252483789758	1.5318824886027345	0.016147053124103073
Horstmann	healthy	-0.3944231247852401	-0.9793030366611829	-0.036178235336475316
Horstmann	healthy	1.6403965374072056	1.5405851044699925	-1.5169700260517343
Horstmann	healthy	-0.8899994411364132	0.8792241249443893	-0.13948231931165148
Horstmann	healthy	0.3130732611273666	1.3101346781989116	0.6430505404197662
Horstmann	healthy	0.9493158514395096	-0.239481224374392	2.516930801360478
Horstmann	healthy	-0.9417655722204404	0.1902325975529772	0.05975676470154104
Horstmann	healthy	1.2517778730275742	1.9407634102417333	-0.8963922492593382
Horstmann	healthy	-1.5194990245168498	2.9060777259991846	0.29911175039866156
Horstmann	healthy	1.0880997981651086	-0.09889161744232403	0.6020667750825236
Horstmann	healthy	-1.1319567915475484	0.8702610021056124	0.10359584721969108
Horstmann	healthy	0.13785601187758117	0.5190584852588805	-0.17079975504730824
Horstmann	healthy	-1.9095480129942086	2.4656646952187007	-0.13690851117100092
Horstmann	healthy	-2.038240457939307	1.0528365968803197	-0.33730011885125005
Horstmann	healthy	1.4972183334064038	0.9877551870584694	1.0059798834742848
Horstmann	healthy	0.8480675006508904	-0.17368842071895635	2.1211347711943946
Horstmann	healthy	-0.7672595602067901	-0.0731858146648771	0.6706925148298098
Horstmann	healthy	0.30224588828884247	0.5342280521673117	0.10738719579845396
Horstmann	healthy	-1.7307264468276593	0.7334080405634663	-1.1586064915118797
Horstmann	healthy	-1.5594451204783915	1.1893906473710705	1.02584225958491
Horstmann	healthy	0.6450638383447392	1.9230614000798185	-1.5569794580669327
Horstmann	healthy	0.43033646376788665	0.45124631190260805	-1.0467270754323061
Horstmann	healthy	-0.028355033051597464	0.2616285364343403	1.6944071296761842
Horstmann	healthy	0.7660868678280331	1.935574706543736	-0.22279310683417902
Horstmann	healthy	-3.972502601668236	1.0926364668489146	0.9749922339593531
Horstmann	healthy	1.4402803569346305	-1.4596344358136322	-1.3451809500720806
Horstmann	healthy	0.1978923989811568	1.9331066711332947	-0.9893500825337745
Horstmann	healthy	-2.5538626957567745	0.28973486953251615	0.28268399757103213
Horstmann	healthy	1.4933495935044716	2.973179957646474	-1.934872644836208
Horstmann	healthy	1.1002577714393604	1.4523512694776763	-0.05541587295934517
Horstmann	healthy	0.9230365104187126	1.3627220822616826	0.018251831760075502
Horstmann	healthy	-1.0225125099007648	0.795217604444076	0.42713742608077043
Horstmann	healthy	-0.14256562149474244	2.257446900303795	-0.04797104710381743
Horstmann	healthy	0.08668706925292746	0.8382197878788239	2.1918371040537292
