subjID,A+,A-,K,BetaF,BetaP,A+-A-
young,0.31179077,0.02907382,1.13665013,0.96783745,3.60809596,0.28271695
young,0.33160746,0.20055421,0.96699136,3.12103203,-2.6301413,0.13105325
young,0.18332873,0.04294686,0.73582642,1.00622457,4.271519,0.14038187
young,0.1161157,0.05072888,1.16145165,0.69119908,4.69889532,0.06538682
young,0.1065204,0.0782525,0.27480642,1.44658056,-5.213945,0.0282679
young,0.08896035,0.09672926,0.31509707,2.14484463,1.769789,-0.00776891
young,0.30615834,0.06645901,0.68852449,1.87473753,-1.6084302,0.23969933
young,0.11982101,0.09127309,0.26226872,1.86143459,-2.1494444,0.02854792
young,0.2479491,0.03124992,1.1957518,-0.5045188,1.7274704,0.21669918
young,0.14789309,0.03007363,0.62383394,-0.2196758,-2.0893236,0.11781946
young,0.1330608,0.11311276,0.68232659,2.83696853,-0.2776024,0.01994804
young,0.40739378,0.1239591,0.58171544,2.23689684,-1.4007168,0.28343468
young,0.53930885,0.13241761,0.06958762,3.40232419,-3.8334254,0.40689124
young,0.25148374,0.12008757,0.2671916,1.8097134,-1.857809,0.13139617
young,0.07342343,0.04585931,1.12741523,1.12187058,2.03108973,0.02756412
young,0.24904706,0.07788411,0.91117747,1.9319485,0.96469717,0.17116295
young,0.10646177,0.07297343,0.45566419,3.29513081,-5.0225899,0.03348834
young,0.1220152,0.12280531,0.90777814,1.07770761,4.76540868,-0.00079011
