study	health status	component_1	component_2
Horstmann	healthy	-1.7039011767194636	0.5296170293100773
Horstmann	healthy	0.16912704607348575	0.7141790793415199
Horstmann	healthy	-0.9131227059381479	1.028506008695445
Horstmann	healthy	1.4725815827131494	0.9780870406537053
Horstmann	healthy	-0.267429018572897	0.8015546365813014
Horstmann	healthy	-2.92835444705322	1.8316778835425551
Horstmann	healthy	0.32684324557636135	1.5331885018985796
Horstmann	healthy	-0.40496202789576585	-1.5794554521492106
Horstmann	healthy	0.1617931276805564	1.5599361021047051
Horstmann	healthy	-0.36981291166073366	0.5806064836258703
Horstmann	healthy	-0.7967855774419631	-0.16350781220613703
Horstmann	healthy	0.09104924124150528	0.4220866610856492
Horstmann	healthy	1.1321392193732533	1.8985441649913288
Horstmann	healthy	-0.5135140988334146	0.374664610020938
Horstmann	healthy	-0.29881892701644147	0.47762951339998255
Horstmann	healthy	1.3156074517884342	0.7567958791162203
Horstmann	healthy	-2.7840149985981557	1.9154445736023427
Horstmann	healthy	-0.42980171894484176	2.3290565815201427
Horstmann	healthy	-0.7195925374973271	0.8131623714946966
Horstmann	healthy	0.7338523563980216	1.7920421114058556
Horstmann	healthy	-0.6281277769392247	-0.2618623301437368
Horstmann	healthy	-0.2207024992500761	1.999808952307926
Horstmann	healthy	-0.27725985169492917	1.2420341274682518
Horstmann	healthy	0.19740850476944818	0.35082634321541367
Horstmann	healthy	1.1955091502499655	-1.3269788254781305
Horstmann	healthy	2.3662524837897605	1.5318824886027358
Horstmann	healthy	-0.39442312478523994	-0.9793030366611813
Horstmann	healthy	1.640396537407206	1.5405851044699863
Horstmann	healthy	-0.8899994411364114	0.8792241249443918
Horstmann	healthy	0.3130732611273677	1.310134678198915
Horstmann	healthy	0.9493158514395121	-0.23948122437438044
Horstmann	healthy	-0.94176557222044	0.19023259755297933
Horstmann	healthy	1.2517778730275755	1.9407634102417306
Horstmann	healthy	-1.5194990245168485	2.906077725999189
Horstmann	healthy	1.08809979816511	-0.09889161744231878
Horstmann	healthy	-1.1319567915475481	0.8702610021056161
Horstmann	healthy	0.13785601187758276	0.5190584852588811
Horstmann	healthy	-1.909548012994211	2.4656646952187025
Horstmann	healthy	-2.038240457939311	1.0528365968803204
Horstmann	healthy	1.4972183334064049	0.9877551870584736
Horstmann	healthy	0.8480675006508926	-0.1736884207189467
Horstmann	healthy	-0.7672595602067882	-0.07318581466487221
Horstmann	healthy	0.30224588828884263	0.5342280521673133
Horstmann	healthy	-1.7307264468276597	0.7334080405634642
Horstmann	healthy	-1.5594451204783917	1.1893906473710774
Horstmann	healthy	0.6450638383447393	1.9230614000798116
Horstmann	healthy	0.4303364637678865	0.45124631190260506
Horstmann	healthy	-0.028355033051598675	0.2616285364343476
Horstmann	healthy	0.7660868678280354	1.9355747065437374
Horstmann	healthy	-3.9725026016682374	1.092636466848923
Horstmann	healthy	1.4402803569346305	-1.459634435813637
Horstmann	healthy	0.1978923989811562	1.933106671133292
Horstmann	healthy	-2.5538626957567763	0.2897348695325206
Horstmann	healthy	1.4933495935044738	2.9731799576464653
Horstmann	healthy	1.100257771439361	1.4523512694776761
Horstmann	healthy	0.923036510418714	1.3627220822616855
Horstmann	healthy	-1.0225125099007641	0.7952176044440789
Horstmann	healthy	-0.14256562149474267	2.257446900303797
Horstmann	healthy	0.0866870692529283	0.8382197878788331
Horstmann	healthy	-2.3224760460885476	0.3903275429742463
Horstmann	healthy	1.0603225218073526	-0.35756289341416886
Horstmann	healthy	3.95093288022762	-0.26839620015194765
Horstmann	healthy	0.27438736235061456	-1.0554153789507312
Horstmann	healthy	1.9253999780310123	0.2665929858588393
Horstmann	healthy	-1.733822111484363	0.7240256238831777
Horstmann	healthy	-0.042202423040919625	-0.17862826857297265
Horstmann	healthy	-0.29612233008679345	0.5451274695972592
Horstmann	healthy	-0.396933747939138	1.8831811114076602
Horstmann	healthy	2.9718240647506997	-1.024806527427205
Horstmann	healthy	-0.41593490641544767	1.5338501905830495
Horstmann	healthy	-1.1913643736248796	0.03075712180093313
Horstmann	healthy	3.940117824808558	1.1274621603552766
Horstmann	healthy	0.18290562013774084	0.459871618788736
Horstmann	healthy	2.3858700214759883	2.649812280650524
Horstmann	healthy	-0.03984319117041615	2.1502806114668878
Horstmann	healthy	-0.3448446356356419	1.2573799369470815
Horstmann	healthy	-0.7419469367748286	1.8497212225152422
Horstmann	healthy	2.8284502135310463	2.6747427160043906
Horstmann	healthy	-0.020205172487503482	0.27794864382593143
Horstmann	healthy	0.7729218104330532	1.0788287693219099
Horstmann	healthy	-0.44139848611236165	1.3710931670087114
Horstmann	healthy	-0.888575274183119	0.4317441239612487
Horstmann	healthy	0.8903413342393428	0.9383062615414998
Horstmann	healthy	1.092434941573309	3.2679613112453794
Horstmann	healthy	-1.858788142325037	3.533708841241742
Horstmann	healthy	-0.2227415663858377	0.6149406384675455
Horstmann	healthy	3.449020563035131	2.2777430169834165
Horstmann	healthy	-4.109640596253387	1.2539054159662841
Horstmann	healthy	0.6777258203651121	0.3848486721187941
Horstmann	healthy	-2.5828170244957143	1.0126833172428895
Horstmann	healthy	3.2844407509179905	-0.5132301306406273
Horstmann	healthy	-0.8068687631601253	1.275576799849476
Horstmann	healthy	0.8173696670303201	0.4835392378699611
Horstmann	healthy	1.9855511997023383	0.290515267810874
Horstmann	healthy	-1.0050619462648342	1.1498879576683032
Horstmann	healthy	0.4265141144237286	1.0312027130047445
Horstmann	healthy	0.7445337101519006	1.4636607874174197
Horstmann	healthy	-0.38938563790708	1.282696462268937
Horstmann	healthy	0.17547363871641003	0.48104336748794907
Horstmann	healthy	-0.4479709523343591	0.8351585729880562
Horstmann	healthy	1.592011789592423	1.8931780766293425
Horstmann	healthy	1.9667149231421257	-0.17422407979733576
Horstmann	healthy	-2.0816283579187127	3.043488021033291
Horstmann	healthy	1.30807315636143	1.1891644791490865
Horstmann	healthy	-0.05115382535523108	0.8156307272696045
Horstmann	healthy	0.040814118124732256	2.0362173090815765
Horstmann	healthy	1.4490954664508149	2.372976867120533
Horstmann	healthy	-0.7165835357693877	0.8454423092756213
Horstmann	healthy	1.9628678861814968	0.45511711668292365
Horstmann	healthy	2.0562303162639517	0.37787146039974784
Horstmann	healthy	0.004182933628232857	2.2193687309082186
Horstmann	healthy	-3.616726435423695	0.924399826549501
Horstmann	healthy	-0.09011954589733906	0.9984746084545679
Horstmann	healthy	0.3110937265438671	0.9871631959604904
Horstmann	healthy	-0.03550111934730184	0.30255209208231615
Horstmann	healthy	0.6779601951323337	0.22853435793518426
Horstmann	healthy	-0.9661506711179542	1.2556513108782092
Horstmann	healthy	-4.029892084882296	1.3758851730101684
Horstmann	healthy	-1.2885307972838602	2.985447221036233
Horstmann	healthy	0.8337950650013479	1.222778620791502
Horstmann	healthy	1.4514161712972014	1.5339835599448755
Horstmann	healthy	2.0231463046788494	-0.10006297121815998
Horstmann	healthy	1.559609225745177	-0.7516898863291406
Horstmann	healthy	-1.1940324024099611	1.3451448799265808
Horstmann	healthy	1.0471224052957642	0.7277278221526312
Horstmann	healthy	0.6861881215528972	2.4254810536402314
Horstmann	healthy	0.05221735633418905	0.24900741137825008
Horstmann	healthy	2.8983667006282503	-0.5589578507516793
Horstmann	healthy	1.3191977836237911	0.27662236391644013
Horstmann	healthy	1.0164186102617299	1.1414652423960054
Horstmann	healthy	0.12479883442966859	1.7406579787331633
Horstmann	healthy	2.2129429934240203	0.2992979143162784
Horstmann	healthy	-0.03657805233787676	1.5960493025973754
Horstmann	healthy	-0.5670585561649393	-0.3114349827008298
Horstmann	healthy	2.6686775478492635	-0.2526020347487514
Horstmann	healthy	0.9668027498165795	-0.19657769431163008
Horstmann	healthy	0.7338314261848581	0.3742837090254182
Horstmann	healthy	0.7509671491350263	0.3012351808517321
Horstmann	healthy	-0.8422680245907489	1.7474365596905774
Horstmann	healthy	-1.7751920649367086	1.6435472834003992
Horstmann	healthy	0.46608239275185354	0.9002187556766841
Horstmann	healthy	2.9847738381113205	1.24165626193006
Horstmann	healthy	1.9276186907651092	0.025999893883634082
Horstmann	healthy	-0.1896031143949186	2.086450645518895
Horstmann	healthy	-1.6494239490908007	2.2820401300717412
Horstmann	healthy	-1.0342434412237858	0.46693344488375205
Horstmann	healthy	3.0004755355660677	-0.006284371610665085
Horstmann	healthy	0.7383772069589205	-0.4288695813851254
Horstmann	healthy	3.203819858422515	0.9995507910896088
Horstmann	healthy	-0.35399488565156534	0.23751959111982604
Horstmann	healthy	1.0286845618942124	1.0289159041367335
Horstmann	healthy	0.22192864374699664	1.3671532024845319
Horstmann	healthy	-1.104943706969384	1.031482055567479
Horstmann	healthy	-1.0738832783345467	1.5825478699372744
Horstmann	healthy	1.809068373622785	1.6699826162314306
Horstmann	healthy	0.13769938290893785	-0.8006624422397735
Horstmann	healthy	0.4243841885707788	0.4520171586874277
Horstmann	healthy	-2.961676076480393	1.7099074214017174
Horstmann	healthy	0.17869859285119702	0.34206307707520417
Horstmann	healthy	-2.3494976057303565	1.4084512688319037
Horstmann	healthy	0.8467163925876193	1.8516830541708453
Horstmann	healthy	1.6040462410686376	1.9306078477152424
Kjome	healthy	-1.5458888885820887	-0.8820890131572858
Kjome	healthy	-1.0407592827335328	0.11050343240094293
Kjome	healthy	-0.6754501971106218	0.5901960528145819
Kjome	healthy	0.42895921251328856	0.47695299024818477
Kjome	healthy	2.5878514804376684	0.6823848261578671
Kjome	healthy	3.065931696943267	-0.050803701359516285
Kjome	healthy	2.140325158578387	0.59759770756128
Kjome	healthy	0.04531994214469129	0.4726844750829683
Kjome	healthy	-1.0167752952329177	-0.11787731068971055
Kjome	healthy	-0.5049984110788337	0.1317870671585885
Kjome	healthy	0.8986512843696675	-0.22703095573618687
Kjome	healthy	-0.3792325053928561	0.3641993002123056
Kjome	healthy	-4.83433183999465	-0.431838834602662
Kjome	healthy	1.0764791010374493	-0.7619212926590088
Kjome	healthy	3.197592241353516	-0.011603320453454519
Kjome	healthy	0.8937781833792305	0.23481805172381892
Kjome	healthy	-1.0407592827335328	0.11050343240094293
Kjome	healthy	1.3224706641427788	-1.4896182265032742
Kjome	healthy	-1.394385125646379	-1.317189648416195
Maia	healthy	1.789415653470747	-1.7418691141229268
Maia	healthy	1.1652244763110815	-0.8605191620565609
Maia	healthy	1.405660688757566	-0.7060223203218264
Maia	healthy	0.9401300155285955	0.7671978899825341
Maia	healthy	0.6151419700034031	0.524021662296344
Maia	healthy	0.16443450355260464	-1.1308412253482005
Maia	healthy	1.6512209783915253	0.007323208232929252
Maia	healthy	2.6491689264205776	-0.03561716693747788
Maia	healthy	-2.2075411664386273	1.5044888708490987
Maia	healthy	-0.8079879425310986	-0.476673147493454
Maia	healthy	-0.2210485527676419	-0.13825297425430536
Maia	healthy	1.547950542590341	-0.9303374196478672
Maia	healthy	3.907215860481034	1.6246876171179956
Maia	healthy	1.2419853095184479	-1.69175455650636
Maia	healthy	2.121916110839877	-0.9989943267546469
Maia	healthy	-0.738798615423943	0.6179849612584305
Maia	healthy	-1.5039188303839721	1.8502261367059383
Maia	healthy	-1.5232305433241462	-0.2540372811805186
Maia	healthy	2.747978267409229	0.635678148477303
Maia	healthy	0.34956871880539053	0.07020473194002673
Maia	healthy	2.6720461105517685	-0.7560699650634619
Maia	healthy	0.18093024899352814	-0.5958925702019134
Maia	healthy	1.8366675298103536	-0.5819431838276159
Maia	healthy	-1.0093787730179142	-0.4769695933385797
Maia	healthy	3.124931112914312	-0.4528719786837984
Maia	healthy	2.3567609045195876	-0.5005954909759434
Maia	healthy	2.171359643761439	-0.07061689764561879
Maia	healthy	-1.155281722281263	-0.3680532902457985
Maia	healthy	3.967617213413444	1.2761951015158737
Maia	healthy	-0.43564685642268064	0.8362779015442119
Maia	healthy	-0.11267046329059036	0.142919639763038
Maia	healthy	-1.5036896483677233	0.2991045629856781
Maia	healthy	3.7923896113300675	-1.0605211816817197
Maia	healthy	2.649157187075984	1.4598103501505917
Maia	healthy	-0.4894954099940758	-0.724726773935885
Maia	healthy	1.059396034294706	-1.0329517602675347
Maia	healthy	-0.17657798253456497	0.3804137963581375
Maia	healthy	1.1264359500596859	-0.5007644088013253
Maia	healthy	2.185295864023181	1.1486805875052706
Maia	healthy	1.3989347536195214	1.5191654509622854
SteingroverInPrep	healthy	-0.28171053556494813	-0.9581915137807417
SteingroverInPrep	healthy	-0.22884391455342215	1.2599470490998206
SteingroverInPrep	healthy	0.3759072776157331	0.7111123718981511
SteingroverInPrep	healthy	4.171783836751022	-0.855268695638416
SteingroverInPrep	healthy	-2.1166789979128704	0.897742915897196
SteingroverInPrep	healthy	-1.2929210233177963	1.0615063705289345
SteingroverInPrep	healthy	0.10369955168049752	1.3304879389816722
SteingroverInPrep	healthy	0.3053532546079694	2.569229154049498
SteingroverInPrep	healthy	3.6438869499516517	-0.23020143757933667
SteingroverInPrep	healthy	2.1899568586695723	2.2251132024563263
SteingroverInPrep	healthy	-1.9611283844813066	2.369682874413009
SteingroverInPrep	healthy	0.7956595875903397	0.0018797825922199374
SteingroverInPrep	healthy	1.3191818804863926	2.1674028838745554
SteingroverInPrep	healthy	-1.160442110998197	1.077172362887533
SteingroverInPrep	healthy	-0.36734294297821807	1.0317889278244077
SteingroverInPrep	healthy	1.5343308942347047	0.2788690455607174
SteingroverInPrep	healthy	0.23834023208074015	1.8357478853598304
SteingroverInPrep	healthy	-1.1701858584081852	-0.012565956765527695
SteingroverInPrep	healthy	2.029636983103422	2.293564343390874
SteingroverInPrep	healthy	0.2281634223643938	2.125328862574907
SteingroverInPrep	healthy	0.25604606053375567	-1.155730747842035
SteingroverInPrep	healthy	-0.7158303715867103	1.7665193252066793
SteingroverInPrep	healthy	-3.0246702935161025	2.525022054013964
SteingroverInPrep	healthy	1.3976820539035297	2.4605840317323175
SteingroverInPrep	healthy	1.7031982047352558	-0.3986227874367894
SteingroverInPrep	healthy	-1.9121609839643423	1.542379964429233
SteingroverInPrep	healthy	2.853521831198001	-0.6576472106077121
SteingroverInPrep	healthy	-1.9681593648757414	1.2724376306703593
SteingroverInPrep	healthy	0.9542426322757591	1.1993641125543997
SteingroverInPrep	healthy	-1.213259814270628	1.4836409666173958
SteingroverInPrep	healthy	-1.114953040586003	-0.4403814106898506
SteingroverInPrep	healthy	-2.4777664753111495	2.014978199023446
SteingroverInPrep	healthy	4.416312538983015	-1.702201245240336
SteingroverInPrep	healthy	0.9365433691325075	0.25969050702552926
SteingroverInPrep	healthy	0.6037080363127909	-0.44892787815801416
SteingroverInPrep	healthy	-2.497854855011301	2.9997933332472697
SteingroverInPrep	healthy	3.060083517101581	-0.9925438156265369
SteingroverInPrep	healthy	1.462442944886549	1.634935692810625
SteingroverInPrep	healthy	0.3638236244080237	0.9305456476806401
SteingroverInPrep	healthy	-2.646043081023401	2.4274360326170172
SteingroverInPrep	healthy	2.9974219058877383	0.014797962240762949
SteingroverInPrep	healthy	-0.23474647708486382	1.436113020271112
SteingroverInPrep	healthy	0.058998704386614316	0.08154381647453049
SteingroverInPrep	healthy	-1.5878499029616515	1.032659168648224
